iteration,model,Metric,Value,Model,AUC,Accuracy,Precision,Recall,F1-score,F1
iter26,clinicalbert_transformer,Accuracy,0.7443922796035473,,,,,,,
iter26,clinicalbert_transformer,MacroAUC,0.829859176725472,,,,,,,
iter26,clinicalbert_transformer,Precision_1,0.8186753528773073,,,,,,,
iter26,clinicalbert_transformer,Recall_1,0.7000928505106778,,,,,,,
iter26,clinicalbert_transformer,F1_1,0.7547547547547547,,,,,,,
iter26,gru,Accuracy,0.7341157426143262,,,,,,,
iter26,gru,AUC,0.8288827827308416,,,,,,,
iter26,gru,Precision_1,0.7530017152658662,,,,,,,
iter26,gru,Recall_1,0.7040898155573376,,,,,,,
iter26,gru,F1_1,0.7277248238707004,,,,,,,
iter26,lstm,Accuracy,0.7393767705382436,,,,,,,
iter26,lstm,AUC,0.8246209202740171,,,,,,,
iter26,tabular,,,RandomForest,0.821,,,,,
iter26,tabular,,,XGBoost,0.8138,,,,,
iter26,tfidf,0,,,,,0.618018018018018,0.8166666666666667,,0.7035897435897436
iter26,tfidf,1,,,,,0.8091697645600991,0.606313834726091,,0.6932059447983014
iter26,tfidf,Accuracy,,,,,0.6984872196139802,,,
iter26,tfidf,ROC_AUC,,,,,0.7763723084405536,,,
iter26,transformer,Accuracy,0.7365439093484419,,,,,,,
iter26,transformer,AUC,0.821232395658076,,,,,,,
iter26,transformer,Precision_1,0.7689530685920578,,,,,,,
iter26,transformer,Recall_1,0.6832397754611067,,,,,,,
iter26,transformer,F1_1,0.7235668789808917,,,,,,,
