iteration,model,Metric,Value,Model,AUC,Accuracy,Precision,Recall,F1-score,Precision_1,Recall_1,F1_1,F1
iter18,clinicalbert_transformer,Accuracy,0.7437106918238994,,,,,,,,,,
iter18,clinicalbert_transformer,MacroAUC,0.8361145027811695,,,,,,,,,,
iter18,clinicalbert_transformer,Precision_1,0.8325942350332595,,,,,,,,,,
iter18,clinicalbert_transformer,Recall_1,0.689623507805326,,,,,,,,,,
iter18,clinicalbert_transformer,F1_1,0.754394776494224,,,,,,,,,,
iter18,gru,Accuracy,0.7608255766895994,,,,,,,,,,
iter18,gru,AUC,0.843143151406513,,,,,,,,,,
iter18,gru,Precision_1,0.8111954459203036,,,,,,,,,,
iter18,gru,Recall_1,0.6856455493183641,,,,,,,,,,
iter18,gru,F1_1,0.7431551499348109,,,,,,,,,,
iter18,lstm,Accuracy,0.7604208822339134,,,,,,,,,,
iter18,lstm,AUC,0.8455784077865308,,,,,,,,,,
iter18,lstm,Precision_1,0.8110161443494777,,,,,,,,,,
iter18,lstm,Recall_1,0.6848436246992783,,,,,,,,,,
iter18,lstm,F1_1,0.7426086956521739,,,,,,,,,,
iter18,tabular,,,RandomForest,0.8433,0.7568,,,,0.7723,0.7346,0.753,
iter18,tabular,,,XGBoost,0.8371,0.7511,,,,0.7528,0.7546,0.7537,
iter18,tfidf,0,,,,,0.6119266055045871,0.8144078144078144,,,,,0.6987951807228916
iter18,tfidf,1,,,,,0.8141809290953546,0.6115702479338843,,,,,0.6984792868379653
iter18,tfidf,Accuracy,,,,,0.6986373165618449,,,,,,
iter18,tfidf,ROC_AUC,,,,,0.7770742164681558,,,,,,
iter18,transformer,Accuracy,0.7575880210441117,,,,,,,,,,
iter18,transformer,AUC,0.8385081712449748,,,,,,,,,,
iter18,transformer,Precision_1,0.8176470588235294,,,,,,,,,,
iter18,transformer,Recall_1,0.6688051323175621,,,,,,,,,,
iter18,transformer,F1_1,0.7357741508601676,,,,,,,,,,
