iteration,model,Metric,Value,Model,AUC,Accuracy,Precision,Recall,F1-score,F1
iter14,clinicalbert_transformer,Accuracy,0.7424400417101147,,,,,,,
iter14,clinicalbert_transformer,MacroAUC,0.8275698909515429,,,,,,,
iter14,clinicalbert_transformer,Precision_1,0.8273942093541202,,,,,,,
iter14,clinicalbert_transformer,Recall_1,0.6866913123844732,,,,,,,
iter14,clinicalbert_transformer,F1_1,0.7505050505050505,,,,,,,
iter14,gru,Accuracy,0.7438284095507891,,,,,,,
iter14,gru,AUC,0.8296932245231693,,,,,,,
iter14,gru,Precision_1,0.7912713472485768,,,,,,,
iter14,gru,Recall_1,0.6688051323175621,,,,,,,
iter14,gru,F1_1,0.7249022164276402,,,,,,,
iter14,lstm,Accuracy,0.7430190206394173,,,,,,,
iter14,lstm,AUC,0.8293754684445283,,,,,,,
iter14,tabular,,,RandomForest,0.831,,,,,
iter14,tabular,,,XGBoost,0.827,,,,,
iter14,tfidf,0,,,,,0.6087344028520499,0.8169856459330144,,0.6976506639427987
iter14,tfidf,1,,,,,0.8077889447236181,0.5942698706099815,,0.6847710330138446
iter14,tfidf,Accuracy,,,,,0.6913451511991658,,,
iter14,tfidf,ROC_AUC,,,,,0.7709761296199665,,,
iter14,transformer,Accuracy,0.7426143261837312,,,,,,,
iter14,transformer,AUC,0.8217591500647305,,,,,,,
iter14,transformer,Precision_1,0.8051948051948052,,,,,,,
iter14,transformer,Recall_1,0.6463512429831596,,,,,,,
iter14,transformer,F1_1,0.7170818505338078,,,,,,,
