iteration,model,Metric,Value,Model,AUC,Accuracy,Precision,Recall,F1-score,Precision_1,Recall_1,F1_1,F1
iter23,clinicalbert_transformer,Accuracy,0.7404898384575299,,,,,,,,,,
iter23,clinicalbert_transformer,MacroAUC,0.8324614041485705,,,,,,,,,,
iter23,clinicalbert_transformer,Precision_1,0.8331441543700341,,,,,,,,,,
iter23,clinicalbert_transformer,Recall_1,0.6764976958525346,,,,,,,,,,
iter23,clinicalbert_transformer,F1_1,0.7466937945066124,,,,,,,,,,
iter23,gru,Accuracy,0.7434237150951032,,,,,,,,,,
iter23,gru,AUC,0.8338790875879889,,,,,,,,,,
iter23,gru,Precision_1,0.7724444444444445,,,,,,,,,,
iter23,gru,Recall_1,0.6968724939855654,,,,,,,,,,
iter23,gru,F1_1,0.7327150084317032,,,,,,,,,,
iter23,lstm,Accuracy,0.7478753541076487,,,,,,,,,,
iter23,lstm,AUC,0.83352988348507,,,,,,,,,,
iter23,lstm,Precision_1,0.7977099236641222,,,,,,,,,,
iter23,lstm,Recall_1,0.6704089815557338,,,,,,,,,,
iter23,lstm,F1_1,0.7285403050108933,,,,,,,,,,
iter23,tabular,,,RandomForest,0.8309,0.7426,,,,0.7716,0.6961,0.7319,
iter23,tabular,,,XGBoost,0.8216,0.7272,,,,0.7468,0.6953,0.7201,
iter23,tfidf,0,,,,,0.5998307952622673,0.8501199040767387,,,,,0.7033730158730159
iter23,tfidf,1,,,,,0.830393487109905,0.5640552995391706,,,,,0.6717892425905598
iter23,tfidf,Accuracy,,,,,0.6883793642522147,,,,,,
iter23,tfidf,ROC_AUC,,,,,0.767377802826863,,,,,,
iter23,transformer,Accuracy,0.7381626871711857,,,,,,,,,,
iter23,transformer,AUC,0.8262647347097085,,,,,,,,,,
iter23,transformer,Precision_1,0.8171247357293869,,,,,,,,,,
iter23,transformer,Recall_1,0.619887730553328,,,,,,,,,,
iter23,transformer,F1_1,0.7049703602371181,,,,,,,,,,
