iteration,model,Metric,Value,Model,AUC,Accuracy,Precision,Recall,F1-score,Precision_1,Recall_1,F1_1,F1
iter6,clinicalbert_transformer,Accuracy,0.7544224765868887,,,,,,,,,,
iter6,clinicalbert_transformer,MacroAUC,0.8376819624515032,,,,,,,,,,
iter6,clinicalbert_transformer,Precision_1,0.8331503841931943,,,,,,,,,,
iter6,clinicalbert_transformer,Recall_1,0.7034291010194624,,,,,,,,,,
iter6,clinicalbert_transformer,F1_1,0.7628140703517587,,,,,,,,,,
iter6,gru,Accuracy,0.7519222986645083,,,,,,,,,,
iter6,gru,AUC,0.8384017065794508,,,,,,,,,,
iter6,gru,Precision_1,0.786618444846293,,,,,,,,,,
iter6,gru,Recall_1,0.6976744186046512,,,,,,,,,,
iter6,gru,F1_1,0.7394815129621759,,,,,,,,,,
iter6,lstm,Accuracy,0.7418049372723594,,,,,,,,,,
iter6,lstm,AUC,0.8353388000482203,,,,,,,,,,
iter6,lstm,Precision_1,0.793070259865255,,,,,,,,,,
iter6,lstm,Recall_1,0.6607858861267041,,,,,,,,,,
iter6,lstm,F1_1,0.7209098862642169,,,,,,,,,,
iter6,tabular,,,RandomForest,0.8288,0.741,,,,0.7506,0.7289,0.7396,
iter6,tabular,,,XGBoost,0.8217,0.7374,,,,0.7351,0.7498,0.7424,
iter6,tfidf,0,,,,,0.628673196794301,0.8374851720047449,,,,,0.7182095625635809
iter6,tfidf,1,,,,,0.8285356695869838,0.6135310472659871,,,,,0.7050053248136315
iter6,tfidf,Accuracy,,,,,0.7117585848074922,,,,,,
iter6,tfidf,ROC_AUC,,,,,0.7777207928346289,,,,,,
iter6,transformer,Accuracy,0.745447187373533,,,,,,,,,,
iter6,transformer,AUC,0.8305619761938456,,,,,,,,,,
iter6,transformer,Precision_1,0.8077689243027888,,,,,,,,,,
iter6,transformer,Recall_1,0.6503608660785886,,,,,,,,,,
iter6,transformer,F1_1,0.7205686361617059,,,,,,,,,,
