iteration,model,Metric,Value,Model,AUC,Accuracy,Precision,Recall,F1-score,Precision_1,Recall_1,F1_1,F1
iter24,clinicalbert_transformer,Accuracy,0.7418677859391396,,,,,,,,,,
iter24,clinicalbert_transformer,MacroAUC,0.8313645242303042,,,,,,,,,,
iter24,clinicalbert_transformer,Precision_1,0.831638418079096,,,,,,,,,,
iter24,clinicalbert_transformer,Recall_1,0.6821130676552364,,,,,,,,,,
iter24,clinicalbert_transformer,F1_1,0.7494908350305499,,,,,,,,,,
iter24,gru,Accuracy,0.7462565762849049,,,,,,,,,,
iter24,gru,AUC,0.8326637524830837,,,,,,,,,,
iter24,gru,Precision_1,0.7549342105263158,,,,,,,,,,
iter24,gru,Recall_1,0.7361668003207699,,,,,,,,,,
iter24,gru,F1_1,0.7454323995127893,,,,,,,,,,
iter24,lstm,Accuracy,0.745447187373533,,,,,,,,,,
iter24,lstm,AUC,0.8335298834850701,,,,,,,,,,
iter24,lstm,Precision_1,0.7937262357414449,,,,,,,,,,
iter24,lstm,Recall_1,0.6696070569366479,,,,,,,,,,
iter24,lstm,F1_1,0.7264027838190518,,,,,,,,,,
iter24,tabular,,,RandomForest,0.8283,0.7378,,,,0.7634,0.6961,0.7282,
iter24,tabular,,,XGBoost,0.8254,0.7454,,,,0.7692,0.7081,0.7374,
iter24,tfidf,0,,,,,0.6093489148580968,0.8827085852478839,,,,,0.7209876543209877
iter24,tfidf,1,,,,,0.8629943502824858,0.5662650602409639,,,,,0.6838276440962507
iter24,tfidf,Accuracy,,,,,0.7035676810073452,,,,,,
iter24,tfidf,ROC_AUC,,,,,0.7876241268674362,,,,,,
iter24,transformer,Accuracy,0.7324969647915823,,,,,,,,,,
iter24,transformer,AUC,0.8288198866822858,,,,,,,,,,
iter24,transformer,Precision_1,0.8219780219780219,,,,,,,,,,
iter24,transformer,Recall_1,0.5998396150761829,,,,,,,,,,
iter24,transformer,F1_1,0.6935558646267965,,,,,,,,,,
