model,iter,Metric,Precision,Recall,F1,Value,Model,Accuracy,AUC,Precision_1,Recall_1,F1_1
clinicalbert_transformer,iter3,Recall_1,0.6803355079217148,,,,,,,,,
clinicalbert_transformer,iter3,F1_1,0.7556935817805382,,,,,,,,,
tabular,iter3,,,,,,RandomForest,0.7479,0.8338,0.7727,0.7089,0.7394
tabular,iter3,,,,,,XGBoost,0.7442,0.8315,0.7695,0.7041,0.7353
lstm,iter3,Accuracy,0.7559692432213678,,,,,,,,,
lstm,iter3,AUC,0.8370389588607428,,,,,,,,,
lstm,iter3,Precision_1,0.7839506172839507,,,,,,,,,
lstm,iter3,Recall_1,0.7129109863672815,,,,,,,,,
lstm,iter3,F1_1,0.746745065098698,,,,,,,,,
gru,iter3,Accuracy,0.7519222986645083,,,,,,,,,
gru,iter3,AUC,0.841047271621827,,,,,,,,,
gru,iter3,Precision_1,0.7756521739130435,,,,,,,,,
gru,iter3,Recall_1,0.7153167602245389,,,,,,,,,
gru,iter3,F1_1,0.7442636629119733,,,,,,,,,
transformer,iter4,Accuracy,0.7284500202347228,,,,,,,,,
transformer,iter4,AUC,0.8230354157166742,,,,,,,,,
transformer,iter4,Precision_1,0.7950819672131147,,,,,,,,,
transformer,iter4,Recall_1,0.6222935044105854,,,,,,,,,
transformer,iter4,F1_1,0.6981556455240666,,,,,,,,,
gru,iter4,Accuracy,0.7393767705382436,,,,,,,,,
gru,iter4,AUC,0.825635774224151,,,,,,,,,
gru,iter4,Precision_1,0.7684772929652716,,,,,,,,,
gru,iter4,Recall_1,0.6920609462710505,,,,,,,,,
gru,iter4,F1_1,0.7282700421940929,,,,,,,,,
tabular,iter4,,,RandomForest,0.7491,0.8285,0.7576,0.7394,0.7484,,,
tabular,iter4,,,XGBoost,0.7406,0.8284,0.7459,0.737,0.7414,,,
lstm,iter4,Accuracy,0.7409955483609875,,,,,,,,,
lstm,iter4,AUC,0.8288048178373193,,,,,,,,,
lstm,iter4,Precision_1,0.800792864222002,,,,,,,,,
lstm,iter4,Recall_1,0.6479550922213312,,,,,,,,,
lstm,iter4,F1_1,0.7163120567375887,,,,,,,,,
clinicalbert_transformer,iter4,Accuracy,0.7346514047866806,,,,,,,,,
clinicalbert_transformer,iter4,MacroAUC,0.8268243278965872,,,,,,,,,
clinicalbert_transformer,iter4,Precision_1,0.8123644251626898,,,,,,,,,
clinicalbert_transformer,iter4,Recall_1,0.6896869244935543,,,,,,,,,
clinicalbert_transformer,iter4,F1_1,0.7460159362549801,,,,,,,,,
tfidf,iter4,0,,,,,,,,0.6070143884892086,0.8074162679425837,0.6930184804928131
tfidf,iter4,1,,,,,,,,0.8012345679012346,0.5976058931860037,0.6845991561181435
tfidf,iter4,Accuracy,,,,,,,,0.6888657648283039,,
tfidf,iter4,ROC_AUC,,,,,,,,0.7680505256108628,,
transformer,iter5,Accuracy,0.7239983812221773,,,,,,,,,
transformer,iter5,AUC,0.8135685776582753,,,,,,,,,
transformer,iter5,Precision_1,0.7703349282296651,,,,,,,,,
transformer,iter5,Recall_1,0.6455493183640738,,,,,,,,,
transformer,iter5,F1_1,0.7024432809773123,,,,,,,,,
gru,iter5,Accuracy,0.734925131525698,,,,,,,,,
gru,iter5,AUC,0.8263951129770272,,,,,,,,,
gru,iter5,Precision_1,0.7454394693200663,,,,,,,,,
gru,iter5,Recall_1,0.7209302325581395,,,,,,,,,
gru,iter5,F1_1,0.7329800244598451,,,,,,,,,
tfidf,iter5,0,,0.5994787141615986,0.8117647058823529,0.6896551724137931,,,,,,
tfidf,iter5,1,,0.794344473007712,0.5727525486561631,0.6655896607431341,,,,,,
tfidf,iter5,Accuracy,,0.6780715396578538,,,,,,,,
tfidf,iter5,ROC_AUC,,0.7616812953170147,,,,,,,,
tabular,iter5,,,,,,RandomForest,0.7487,0.825,0.7717,0.7129,0.7411
tabular,iter5,,,,,,XGBoost,0.7418,0.8249,0.7565,0.7201,0.7379
lstm,iter5,Accuracy,0.7353298259813841,,,,,,,,,
lstm,iter5,AUC,0.823808512980172,,,,,,,,,
lstm,iter5,Precision_1,0.7737765466297323,,,,,,,,,
lstm,iter5,Recall_1,0.6720128307939054,,,,,,,,,
lstm,iter5,F1_1,0.7193133047210301,,,,,,,,,
clinicalbert_transformer,iter5,Accuracy,0.7335406946604458,,,,,,,,,
clinicalbert_transformer,iter5,MacroAUC,0.8238663250286212,,,,,,,,,
clinicalbert_transformer,iter5,Precision_1,0.8149386845039019,,,,,,,,,
clinicalbert_transformer,iter5,Recall_1,0.6774791473586654,,,,,,,,,
clinicalbert_transformer,iter5,F1_1,0.7398785425101214,,,,,,,,,
gru,iter6,Accuracy,0.7519222986645083,,,,,,,,,
gru,iter6,AUC,0.8384017065794508,,,,,,,,,
gru,iter6,Precision_1,0.786618444846293,,,,,,,,,
gru,iter6,Recall_1,0.6976744186046512,,,,,,,,,
gru,iter6,F1_1,0.7394815129621759,,,,,,,,,
clinicalbert_transformer,iter6,Accuracy,0.7544224765868887,,,,,,,,,
clinicalbert_transformer,iter6,MacroAUC,0.8376819624515032,,,,,,,,,
clinicalbert_transformer,iter6,Precision_1,0.8331503841931943,,,,,,,,,
clinicalbert_transformer,iter6,Recall_1,0.7034291010194624,,,,,,,,,
clinicalbert_transformer,iter6,F1_1,0.7628140703517587,,,,,,,,,
transformer,iter6,Accuracy,0.745447187373533,,,,,,,,,
transformer,iter6,AUC,0.8305619761938456,,,,,,,,,
transformer,iter6,Precision_1,0.8077689243027888,,,,,,,,,
transformer,iter6,Recall_1,0.6503608660785886,,,,,,,,,
transformer,iter6,F1_1,0.7205686361617059,,,,,,,,,
tabular,iter6,,,RandomForest,0.741,0.8288,0.7506,0.7289,0.7396,,,
tabular,iter6,,,XGBoost,0.7374,0.8217,0.7351,0.7498,0.7424,,,
tfidf,iter6,0,,,,,,,,0.628673196794301,0.8374851720047449,0.7182095625635809
tfidf,iter6,1,,,,,,,,0.8285356695869838,0.6135310472659871,0.7050053248136315
tfidf,iter6,Accuracy,,,,,,,,0.7117585848074922,,
tfidf,iter6,ROC_AUC,,,,,,,,0.7777207928346289,,
lstm,iter6,Accuracy,0.7418049372723594,,,,,,,,,
lstm,iter6,AUC,0.8353388000482203,,,,,,,,,
lstm,iter6,Precision_1,0.793070259865255,,,,,,,,,
lstm,iter6,Recall_1,0.6607858861267041,,,,,,,,,
lstm,iter6,F1_1,0.7209098862642169,,,,,,,,,
tabular,iter7,RandomForest,0.7386,0.8283,0.7461,0.7306,0.7382,,,,,
tabular,iter7,XGBoost,0.7418,0.8271,0.7458,0.741,0.7434,,,,,
transformer,iter7,,,,,,,Accuracy,0.7381626871711857,,,
transformer,iter7,,,,,,,AUC,0.8199158372250264,,,
transformer,iter7,,,,,,,Precision_1,0.7767527675276753,,,
transformer,iter7,,,,,,,Recall_1,0.6752205292702486,,,
transformer,iter7,,,,,,,F1_1,0.7224367224367224,,,
gru,iter7,,,,,,,Accuracy,0.7381626871711857,,,
gru,iter7,,,,,,,AUC,0.8291762976241017,,,
gru,iter7,,,,,,,Precision_1,0.7717391304347826,,,
gru,iter7,,,,,,,Recall_1,0.6832397754611067,,,
gru,iter7,,,,,,,F1_1,0.7247979583156103,,,
clinicalbert_transformer,iter7,,,,,,,Accuracy,0.7514270887389725,,,
clinicalbert_transformer,iter7,,,,,,,MacroAUC,0.8345339552948741,,,
clinicalbert_transformer,iter7,,,,,,,Precision_1,0.8351893095768375,,,
clinicalbert_transformer,iter7,,,,,,,Recall_1,0.6938020351526365,,,
clinicalbert_transformer,iter7,,,,,,,F1_1,0.7579585649317837,,,
lstm,iter7,,,,,,,Accuracy,0.7422096317280453,,,
lstm,iter7,,,,,,,AUC,0.8195892363895572,,,
lstm,iter7,,,,,,,Precision_1,0.7742805755395683,,,
lstm,iter7,,,,,,,Recall_1,0.6904570970328789,,,
lstm,iter7,,,,,,,F1_1,0.7299703264094956,,,
tfidf,iter7,,,,,,,0,,0.6130434782608696,0.8333333333333334,0.7064128256513026
tfidf,iter7,,,,,,,1,,0.8185328185328186,0.5883441258094357,0.6846071044133477
tfidf,iter7,,,,,,,Accuracy,,0.6959003632589518,,
tfidf,iter7,,,,,,,ROC_AUC,,0.7696774066565631,,
lstm,iter8,Accuracy,0.7539457709429381,,,,,,,,,
lstm,iter8,AUC,0.8330011635768984,,,,,,,,,
lstm,iter8,Precision_1,0.7795275590551181,,,,,,,,,
lstm,iter8,Recall_1,0.714514835605453,,,,,,,,,
lstm,iter8,F1_1,0.7456066945606694,,,,,,,,,
transformer,iter8,Accuracy,0.745447187373533,,,,,,,,,
transformer,iter8,AUC,0.8278417220938095,,,,,,,,,
transformer,iter8,Precision_1,0.7609797297297297,,,,,,,,,
transformer,iter8,Recall_1,0.7225340817963112,,,,,,,,,
transformer,iter8,F1_1,0.7412587412587412,,,,,,,,,
clinicalbert_transformer,iter8,Accuracy,0.7640272679601469,,,,,,,,,
clinicalbert_transformer,iter8,MacroAUC,0.8459449335081477,,,,,,,,,
clinicalbert_transformer,iter8,Precision_1,0.8545034642032333,,,,,,,,,
clinicalbert_transformer,iter8,Recall_1,0.6954887218045113,,,,,,,,,
clinicalbert_transformer,iter8,F1_1,0.7668393782383419,,,,,,,,,
tfidf,iter8,0,,0.628396143733567,0.8505338078291815,0.7227822580645161,,,,,,
tfidf,iter8,1,,0.835509138381201,0.6015037593984962,0.6994535519125683,,,,,,
tfidf,iter8,Accuracy,,0.7115888830624016,,,,,,,,
tfidf,iter8,ROC_AUC,,0.7957081315388115,,,,,,,,
gru,iter8,Accuracy,0.7511129097531364,,,,,,,,,
gru,iter8,AUC,0.8293479514232851,,,,,,,,,
gru,iter8,Precision_1,0.7981132075471699,,,,,,,,,
gru,iter8,Recall_1,0.6784282277465918,,,,,,,,,
gru,iter8,F1_1,0.7334200260078023,,,,,,,,,
tabular,iter8,,,,,,RandomForest,0.7475,0.8276,0.7706,0.7113,0.7398
tabular,iter8,,,,,,XGBoost,0.7442,0.8237,0.763,0.7153,0.7384
lstm,iter9,Accuracy,0.7470659651962768,,,,,,,,,
lstm,iter9,AUC,0.8380040201057701,,,,,,,,,
lstm,iter9,Precision_1,0.7874306839186691,,,,,,,,,
lstm,iter9,Recall_1,0.6832397754611067,,,,,,,,,
lstm,iter9,F1_1,0.7316444826105625,,,,,,,,,
tfidf,iter9,0,,0.6017094017094017,0.8492159227985525,0.704352176088044,,,,,,
tfidf,iter9,1,,0.8301630434782609,0.5673166202414113,0.6740209597352455,,,,,,
tfidf,iter9,Accuracy,,0.6899265477439664,,,,,,,,
tfidf,iter9,ROC_AUC,,0.7779164748614802,,,,,,,,
tabular,iter9,,,,,,RandomForest,0.7515,0.8369,0.7627,0.737,0.7496
tabular,iter9,,,,,,XGBoost,0.7483,0.8282,0.7692,0.7161,0.7417
clinicalbert_transformer,iter9,Accuracy,0.7555089192025184,,,,,,,,,
clinicalbert_transformer,iter9,MacroAUC,0.8413801909203625,,,,,,,,,
clinicalbert_transformer,iter9,Precision_1,0.8507462686567164,,,,,,,,,
clinicalbert_transformer,iter9,Recall_1,0.6880222841225627,,,,,,,,,
clinicalbert_transformer,iter9,F1_1,0.7607802874743327,,,,,,,,,
transformer,iter9,Accuracy,0.7470659651962768,,,,,,,,,
transformer,iter9,AUC,0.8315335891105975,,,,,,,,,
transformer,iter9,Precision_1,0.761344537815126,,,,,,,,,
transformer,iter9,Recall_1,0.7265437048917401,,,,,,,,,
transformer,iter9,F1_1,0.7435371358227328,,,,,,,,,
gru,iter9,Accuracy,0.7583974099554837,,,,,,,,,
gru,iter9,AUC,0.8378408834798288,,,,,,,,,
gru,iter9,Precision_1,0.7865961199294532,,,,,,,,,
