iteration,model,Metric,Value,Model,AUC,Accuracy,Precision,Recall,F1-score,Precision_1,Recall_1,F1_1,F1
iter3,clinicalbert_transformer,Accuracy,0.75144813059505,,,,,,,,,,
iter3,clinicalbert_transformer,MacroAUC,0.8460687037542678,,,,,,,,,,
iter3,clinicalbert_transformer,Precision_1,0.8498253783469151,,,,,,,,,,
iter3,clinicalbert_transformer,Recall_1,0.6803355079217148,,,,,,,,,,
iter3,clinicalbert_transformer,F1_1,0.7556935817805382,,,,,,,,,,
iter3,gru,Accuracy,0.7519222986645083,,,,,,,,,,
iter3,gru,AUC,0.841047271621827,,,,,,,,,,
iter3,gru,Precision_1,0.7756521739130435,,,,,,,,,,
iter3,gru,Recall_1,0.7153167602245389,,,,,,,,,,
iter3,gru,F1_1,0.7442636629119733,,,,,,,,,,
iter3,lstm,Accuracy,0.7559692432213678,,,,,,,,,,
iter3,lstm,AUC,0.8370389588607428,,,,,,,,,,
iter3,lstm,Precision_1,0.7839506172839507,,,,,,,,,,
iter3,lstm,Recall_1,0.7129109863672815,,,,,,,,,,
iter3,lstm,F1_1,0.746745065098698,,,,,,,,,,
iter3,tabular,,,RandomForest,0.8338,0.7479,,,,0.7727,0.7089,0.7394,
iter3,tabular,,,XGBoost,0.8315,0.7442,,,,0.7695,0.7041,0.7353,
iter3,tfidf,0,,,,,0.6151761517615176,0.8244552058111381,,,,,0.7046042421107087
iter3,tfidf,1,,,,,0.8169191919191919,0.6029822926374651,,,,,0.693833780160858
iter3,tfidf,Accuracy,,,,,0.6993154291732491,,,,,,
iter3,tfidf,ROC_AUC,,,,,0.7738587924151923,,,,,,
iter3,transformer,Accuracy,0.7592067988668555,,,,,,,,,,
iter3,transformer,AUC,0.834285946402084,,,,,,,,,,
iter3,transformer,Precision_1,0.816504854368932,,,,,,,,,,
iter3,transformer,Recall_1,0.6744186046511628,,,,,,,,,,
iter3,transformer,F1_1,0.7386912604303909,,,,,,,,,,
