iteration,model,Metric,Value,Model,AUC,Accuracy,Precision,Recall,F1-score,F1
iter28,clinicalbert_transformer,Accuracy,0.723336853220697,,,,,,,
iter28,clinicalbert_transformer,MacroAUC,0.817842011753451,,,,,,,
iter28,clinicalbert_transformer,Precision_1,0.8181818181818182,,,,,,,
iter28,clinicalbert_transformer,Recall_1,0.6642066420664207,,,,,,,
iter28,clinicalbert_transformer,F1_1,0.7331975560081466,,,,,,,
iter28,gru,Accuracy,0.73573452043707,,,,,,,
iter28,gru,AUC,0.8307041474702686,,,,,,,
iter28,gru,Precision_1,0.7894736842105263,,,,,,,
iter28,gru,Recall_1,0.6495589414595028,,,,,,,
iter28,gru,F1_1,0.7127144742630884,,,,,,,
iter28,lstm,Accuracy,0.7409955483609875,,,,,,,
iter28,lstm,AUC,0.8313095219376176,,,,,,,
iter28,tabular,,,RandomForest,0.8298,,,,,
iter28,tabular,,,XGBoost,0.8279,,,,,
iter28,tfidf,0,,,,,0.5946445060018467,0.7950617283950617,,0.6804014791336503
iter28,tfidf,1,,,,,0.7953144266337855,0.5950184501845018,,0.6807387862796834
iter28,tfidf,Accuracy,,,,,0.6805702217529039,,,
iter28,tfidf,ROC_AUC,,,,,0.7641360302491914,,,
iter28,transformer,Accuracy,0.7304734925131525,,,,,,,
iter28,transformer,AUC,0.8182350058440911,,,,,,,
iter28,transformer,Precision_1,0.7657822506861848,,,,,,,
iter28,transformer,Recall_1,0.6712109061748196,,,,,,,
iter28,transformer,F1_1,0.7153846153846154,,,,,,,
