iteration,model,Metric,Value,Model,AUC,Accuracy,Precision,Recall,F1-score,Precision_1,Recall_1,F1_1,F1
iter27,clinicalbert_transformer,Accuracy,0.735778841041999,,,,,,,,,,
iter27,clinicalbert_transformer,MacroAUC,0.8241473773869405,,,,,,,,,,
iter27,clinicalbert_transformer,Precision_1,0.8258877434135166,,,,,,,,,,
iter27,clinicalbert_transformer,Recall_1,0.6763602251407129,,,,,,,,,,
iter27,clinicalbert_transformer,F1_1,0.7436823104693141,,,,,,,,,,
iter27,gru,Accuracy,0.7426143261837312,,,,,,,,,,
iter27,gru,AUC,0.82616908030253,,,,,,,,,,
iter27,gru,Precision_1,0.7725245316681534,,,,,,,,,,
iter27,gru,Recall_1,0.6944667201283079,,,,,,,,,,
iter27,gru,F1_1,0.731418918918919,,,,,,,,,,
iter27,lstm,Accuracy,0.736139214892756,,,,,,,,,,
iter27,lstm,AUC,0.8193926862378202,,,,,,,,,,
iter27,lstm,Precision_1,0.7902439024390244,,,,,,,,,,
iter27,lstm,Recall_1,0.6495589414595028,,,,,,,,,,
iter27,lstm,F1_1,0.7130281690140845,,,,,,,,,,
iter27,tabular,,,RandomForest,0.8102,0.7301,,,,0.7474,0.7025,0.7243,
iter27,tabular,,,XGBoost,0.8109,0.7378,,,,0.7371,0.7466,0.7418,
iter27,tfidf,0,,,,,0.6067518248175182,0.8159509202453987,,,,,0.6959706959706959
iter27,tfidf,1,,,,,0.8089171974522293,0.5956848030018762,,,,,0.6861156131820637
iter27,tfidf,Accuracy,,,,,0.6911217437533227,,,,,,
iter27,tfidf,ROC_AUC,,,,,0.7757214056331219,,,,,,
iter27,transformer,Accuracy,0.7284500202347228,,,,,,,,,,
iter27,transformer,AUC,0.8122952602586075,,,,,,,,,,
iter27,transformer,Precision_1,0.7807017543859649,,,,,,,,,,
iter27,transformer,Recall_1,0.6423416198877305,,,,,,,,,,
iter27,transformer,F1_1,0.7047954245490541,,,,,,,,,,
