iteration,model,Metric,Value,Model,AUC,Accuracy,Precision,Recall,F1-score,F1
iter30,clinicalbert_transformer,Accuracy,0.7305145185939887,,,,,,,
iter30,clinicalbert_transformer,MacroAUC,0.823345457911445,,,,,,,
iter30,clinicalbert_transformer,Precision_1,0.8128460686600222,,,,,,,
iter30,clinicalbert_transformer,Recall_1,0.6709323583180987,,,,,,,
iter30,clinicalbert_transformer,F1_1,0.7351026539809714,,,,,,,
iter30,gru,Accuracy,0.7345204370700121,,,,,,,
iter30,gru,AUC,0.813185632445975,,,,,,,
iter30,gru,Precision_1,0.7738646895273401,,,,,,,
iter30,gru,Recall_1,0.6696070569366479,,,,,,,
iter30,gru,F1_1,0.7179707652622528,,,,,,,
iter30,lstm,Accuracy,0.7377579927154998,,,,,,,
iter30,lstm,AUC,0.8149821008328486,,,,,,,
iter30,tabular,,,RandomForest,0.8162,,,,,
iter30,tabular,,,XGBoost,0.7759,,,,,
iter30,tfidf,0,,,,,0.6034063260340633,0.856156501726122,,0.7078972407231209
iter30,tfidf,1,,,,,0.8287671232876712,0.553016453382084,,0.6633771929824561
iter30,tfidf,Accuracy,,,,,0.6872134488028527,,,
iter30,tfidf,ROC_AUC,,,,,0.7682436682563958,,,
iter30,transformer,Accuracy,0.7337110481586402,,,,,,,
iter30,transformer,AUC,0.8111146490138424,,,,,,,
iter30,transformer,Precision_1,0.746031746031746,,,,,,,
iter30,transformer,Recall_1,0.7161186848436247,,,,,,,
iter30,transformer,F1_1,0.7307692307692307,,,,,,,
