iteration,model,Metric,Value,Model,AUC,Accuracy,Precision,Recall,F1-score,F1
iter20,clinicalbert_transformer,Accuracy,0.751442055584688,,,,,,,
iter20,clinicalbert_transformer,MacroAUC,0.832838461193963,,,,,,,
iter20,clinicalbert_transformer,Precision_1,0.8272138228941684,,,,,,,
iter20,clinicalbert_transformer,Recall_1,0.7092592592592593,,,,,,,
iter20,clinicalbert_transformer,F1_1,0.7637088733798604,,,,,,,
iter20,gru,Accuracy,0.7507082152974505,,,,,,,
iter20,gru,AUC,0.8359992085580559,,,,,,,
iter20,gru,Precision_1,0.7703513281919452,,,,,,,
iter20,gru,Recall_1,0.7209302325581395,,,,,,,
iter20,gru,F1_1,0.7448218724109362,,,,,,,
iter20,lstm,Accuracy,0.7527316875758802,,,,,,,
iter20,lstm,AUC,0.8348461143345336,,,,,,,
iter20,tabular,,,RandomForest,0.8292,,,,,
iter20,tabular,,,XGBoost,0.8161,,,,,
iter20,tfidf,0,,,,,0.6276112624886467,0.8355501813784765,,0.716804979253112
iter20,tfidf,1,,,,,0.8312655086848635,0.6203703703703703,,0.7104984093319194
iter20,tfidf,Accuracy,,,,,0.7136864184583115,,,
iter20,tfidf,ROC_AUC,,,,,0.7822327466523356,,,
iter20,transformer,Accuracy,0.736139214892756,,,,,,,
iter20,transformer,AUC,0.812035814058315,,,,,,,
iter20,transformer,Precision_1,0.7819905213270142,,,,,,,
iter20,transformer,Recall_1,0.6615878107457899,,,,,,,
iter20,transformer,F1_1,0.7167680278019114,,,,,,,
