iteration,model,Metric,Value,Model,AUC,Accuracy,Precision,Recall,F1-score,F1
iter4,clinicalbert_transformer,Accuracy,0.7362122788761707,,,,,,,
iter4,clinicalbert_transformer,MacroAUC,0.8263457488522914,,,,,,,
iter4,clinicalbert_transformer,Precision_1,0.8083067092651757,,,,,,,
iter4,clinicalbert_transformer,Recall_1,0.6988950276243094,,,,,,,
iter4,clinicalbert_transformer,F1_1,0.7496296296296296,,,,,,,
iter4,gru,Accuracy,0.7381626871711857,,,,,,,
iter4,gru,AUC,0.8265818356211773,,,,,,,
iter4,gru,Precision_1,0.7640845070422535,,,,,,,
iter4,gru,Recall_1,0.6960705693664796,,,,,,,
iter4,gru,F1_1,0.7284934955937893,,,,,,,
iter4,lstm,Accuracy,0.7494941319303926,,,,,,,
iter4,lstm,AUC,0.829689948687307,,,,,,,
iter4,tabular,,,RandomForest,0.8292,,,,,
iter4,tabular,,,XGBoost,0.823,,,,,
iter4,tfidf,0,,,,,0.6070143884892086,0.8074162679425837,,0.6930184804928131
iter4,tfidf,1,,,,,0.8012345679012346,0.5976058931860037,,0.6845991561181435
iter4,tfidf,Accuracy,,,,,0.6888657648283039,,,
iter4,tfidf,ROC_AUC,,,,,0.7680505256108628,,,
iter4,transformer,Accuracy,0.73573452043707,,,,,,,
iter4,transformer,AUC,0.814902170437809,,,,,,,
iter4,transformer,Precision_1,0.7839388145315488,,,,,,,
iter4,transformer,Recall_1,0.6575781876503609,,,,,,,
iter4,transformer,F1_1,0.7152202354993459,,,,,,,
