iteration,model,Metric,Value,Model,AUC,Accuracy,Precision,Recall,F1-score,F1
iter11,clinicalbert_transformer,Accuracy,0.7518286311389759,,,,,,,
iter11,clinicalbert_transformer,MacroAUC,0.8353932266761821,,,,,,,
iter11,clinicalbert_transformer,Precision_1,0.8359550561797753,,,,,,,
iter11,clinicalbert_transformer,Recall_1,0.6933830382106244,,,,,,,
iter11,clinicalbert_transformer,F1_1,0.7580234335201222,,,,,,,
iter11,gru,Accuracy,0.7567786321327398,,,,,,,
iter11,gru,AUC,0.8383420863667573,,,,,,,
iter11,gru,Precision_1,0.7838312829525483,,,,,,,
iter11,gru,Recall_1,0.7153167602245389,,,,,,,
iter11,gru,F1_1,0.7480083857442348,,,,,,,
iter11,lstm,Accuracy,0.7503035208417644,,,,,,,
iter11,lstm,AUC,0.8375781614436739,,,,,,,
iter11,tabular,,,RandomForest,0.8379,,,,,
iter11,tabular,,,XGBoost,0.8036,,,,,
iter11,tfidf,0,,,,,0.6125,0.8739595719381689,,0.720235178833905
iter11,tfidf,1,,,,,0.8515406162464986,0.5666356011183598,,0.6804700615556799
iter11,tfidf,Accuracy,,,,,0.7016718913270638,,,
iter11,tfidf,ROC_AUC,,,,,0.7728689163147321,,,
iter11,transformer,Accuracy,0.7405908539053015,,,,,,,
iter11,transformer,AUC,0.8289745061349854,,,,,,,
iter11,transformer,Precision_1,0.766725352112676,,,,,,,
iter11,transformer,Recall_1,0.698476343223737,,,,,,,
iter11,transformer,F1_1,0.7310113302559799,,,,,,,
