iteration,model,Metric,Value,Model,AUC,Accuracy,Precision,Recall,F1-score,Precision_1,Recall_1,F1_1,F1
iter25,clinicalbert_transformer,Accuracy,0.7523659305993691,,,,,,,,,,
iter25,clinicalbert_transformer,MacroAUC,0.8406545652638278,,,,,,,,,,
iter25,clinicalbert_transformer,Precision_1,0.8333333333333334,,,,,,,,,,
iter25,clinicalbert_transformer,Recall_1,0.7103574702108157,,,,,,,,,,
iter25,clinicalbert_transformer,F1_1,0.7669470559129143,,,,,,,,,,
iter25,gru,Accuracy,0.7612302711452853,,,,,,,,,,
iter25,gru,AUC,0.8392704582501271,,,,,,,,,,
iter25,gru,Precision_1,0.8005489478499542,,,,,,,,,,
iter25,gru,Recall_1,0.7016840417000801,,,,,,,,,,
iter25,gru,F1_1,0.7478632478632479,,,,,,,,,,
iter25,lstm,Accuracy,0.7571833265884257,,,,,,,,,,
iter25,lstm,AUC,0.8379791237532168,,,,,,,,,,
iter25,lstm,Precision_1,0.8054768649669499,,,,,,,,,,
iter25,lstm,Recall_1,0.6840417000801925,,,,,,,,,,
iter25,lstm,F1_1,0.7398091934084996,,,,,,,,,,
iter25,tabular,,,RandomForest,0.8389,0.7511,,,,0.7642,0.733,0.7483,
iter25,tabular,,,XGBoost,0.8323,0.7386,,,,0.7657,0.6945,0.7283,
iter25,tfidf,0,,,,,0.6089193825042881,0.8754623921085081,,,,,0.7182599898836621
iter25,tfidf,1,,,,,0.8627717391304348,0.5820348304307974,,,,,0.6951286261631089
iter25,tfidf,Accuracy,,,,,0.7071503680336488,,,,,,
iter25,tfidf,ROC_AUC,,,,,0.7813632669944994,,,,,,
iter25,transformer,Accuracy,0.7478753541076487,,,,,,,,,,
iter25,transformer,AUC,0.8380348129628756,,,,,,,,,,
iter25,transformer,Precision_1,0.8209876543209876,,,,,,,,,,
iter25,transformer,Recall_1,0.6399358460304732,,,,,,,,,,
iter25,transformer,F1_1,0.7192429022082019,,,,,,,,,,
