model,iter,meta_type,mean_f1,std_f1,fold1,fold2,fold3,fold4,fold5
stacker,iter7,MLP,0.5142,0.040170113,0.5025,0.5771,0.4731,0.5269,0.4916
stacker,iter7,SVM,0.525,0.046137046,0.4663,0.5917,0.5178,0.5415,0.5078
stacker,iter7,NaiveBayes,0.5112,0.02647801,0.4758,0.5118,0.5075,0.5504,0.5105
stacker,iter7,StackingCV,0.5281,0.032002391,0.4904,0.5713,0.5231,0.5478,0.5082
stacker,iter8,LogisticRegression,0.5531,0.024650213,0.5472,0.5237,0.5677,0.5401,0.587
stacker,iter8,RandomForest,0.46,0.021484995,0.4258,0.4689,0.4532,0.4803,0.4718
stacker,iter8,XGBoost,0.475,0.038942997,0.4749,0.4605,0.4235,0.5306,0.4856
stacker,iter8,LightGBM,0.4797,0.045241717,0.4278,0.4839,0.4569,0.5501,0.4796
stacker,iter8,CatBoost,0.4898,0.027384174,0.458,0.5079,0.466,0.5225,0.4948
stacker,iter8,MLP,0.5056,0.044547783,0.548,0.496,0.4351,0.538,0.5109
stacker,iter8,SVM,0.5451,0.012410359,0.5347,0.5301,0.5514,0.549,0.5602
stacker,iter8,NaiveBayes,0.4952,0.012270412,0.4911,0.5,0.4798,0.513,0.4923
stacker,iter8,StackingCV,0.5563,0.019255778,0.5411,0.5506,0.56,0.5419,0.5879
stacker,iter9,LogisticRegression,0.537,0.025339554,0.5546,0.5128,0.5287,0.5717,0.517
stacker,iter9,RandomForest,0.4943,0.026731723,0.5389,0.4766,0.4915,0.4936,0.4709
stacker,iter9,XGBoost,0.5099,0.013324151,0.5254,0.4928,0.5181,0.5131,0.4999
stacker,iter9,LightGBM,0.515,0.016703952,0.5262,0.5045,0.5224,0.5308,0.491
stacker,iter9,CatBoost,0.5193,0.023928916,0.5527,0.5089,0.5186,0.5286,0.488
stacker,iter9,MLP,0.4998,0.039162571,0.5593,0.4516,0.5025,0.502,0.4837
stacker,iter9,SVM,0.5391,0.02616576,0.5441,0.5134,0.5288,0.5817,0.5276
stacker,iter9,NaiveBayes,0.392,0.015262929,0.4043,0.4087,0.3706,0.3855,0.3908
stacker,iter9,StackingCV,0.5458,0.014389997,0.5648,0.5386,0.5315,0.5572,0.5368
