iteration,model,class,precision,recall,f1-score
iter21,lstm,0,0.675796178,0.64381068,0.659415786
iter21,tabular_rf,0,0.676141258,0.653894211,0.664831675
iter21,tabular_xgb,0,0.784482759,0.037900875,0.072308304
iter21,tfidf,0,0.82437276,0.673006584,0.741039066
iter21,transformer,0,0.800970874,0.100121359,0.177993528
iter22,clinicalbert_transformer,0,0.6707,0.6859,0.6782
iter22,gru,0,0.758511481,0.58131068,0.658193061
iter22,lstm,0,0.671029149,0.684466019,0.677680985
iter22,tabular_rf,0,0.674002751,0.614291684,0.642763446
iter22,tabular_xgb,0,0.878787879,0.024237359,0.047173648
iter22,tfidf,0,0.804986643,0.673119881,0.733171127
iter22,transformer,0,0.734848485,0.17657767,0.284735812
iter23,clinicalbert_transformer,0,0.7137,0.5101,0.595
iter23,gru,0,0.677653263,0.623786408,0.649605055
iter23,lstm,0,0.664363846,0.700242718,0.68183161
iter23,tabular_rf,0,0.668092387,0.657130837,0.662566278
iter23,tabular_xgb,0,0.844444444,0.047959613,0.090764331
iter23,tfidf,0,0.828877005,0.685335298,0.750302541
iter23,transformer,0,0.724867725,0.166262136,0.270483712
iter24,clinicalbert_transformer,0,0.6931,0.5517,0.6144
iter24,gru,0,0.771144279,0.564320388,0.651716889
iter24,lstm,0,0.657831325,0.662621359,0.660217654
iter24,tabular_rf,0,0.694808345,0.591002889,0.638715433
iter24,tabular_xgb,0,0.913978495,0.035080479,0.067567568
iter24,tfidf,0,0.797909408,0.686142322,0.737817157
iter24,transformer,0,0.733009709,0.183252427,0.293203883
iter25,clinicalbert_transformer,0,0.7525,0.4325,0.5493
iter25,gru,0,0.650607834,0.876820388,0.74696304
iter25,lstm,0,0.668592058,0.561893204,0.610616551
iter25,tabular_rf,0,0.67483871,0.662584459,0.668655444
iter25,tabular_xgb,0,0.682782019,0.679898649,0.681337283
iter25,tfidf,0,0.827248442,0.690193165,0.752531389
iter25,transformer,0,0.709183673,0.16868932,0.27254902
iter26,clinicalbert_transformer,0,0.6522,0.6981,0.6744
iter26,gru,0,0.782758621,0.137742718,0.234262126
iter26,lstm,0,0.676350959,0.70631068,0.691006233
iter26,tabular_rf,0,0.689855072,0.601010101,0.642375169
iter26,tabular_xgb,0,0.865853659,0.05976431,0.111811024
