meta_type,mean_f1,std_f1,n_iters,delta_vs_base
logisticregression,0.5228277777777778,0.026959168472077955,18,-0.2071722222222222
stackingcv,0.5111458333333333,0.028360630757867943,8,-0.21885416666666668
svm,0.45531666666666665,0.016949303492736476,4,-0.27468333333333333
