model,iteration,macro_f1,macro_precision,macro_recall
ClinicalBERT,iter1,0.36516666666666664,0.4252,0.4088333333333333
ClinicalBERT,iter10,0.37753333333333333,0.41979999999999995,0.41653333333333337
ClinicalBERT,iter11,0.36106666666666665,0.43333333333333335,0.4086666666666667
ClinicalBERT,iter12,0.3937333333333333,0.3999,0.39206666666666673
ClinicalBERT,iter13,0.3774333333333333,0.3891,0.3794666666666666
ClinicalBERT,iter14,0.4026,0.4273666666666667,0.42136666666666667
ClinicalBERT,iter15,0.3820333333333334,0.4492333333333333,0.4221333333333333
ClinicalBERT,iter16,0.3966,0.4108,0.3974
ClinicalBERT,iter17,0.381,0.4353,0.42836666666666673
ClinicalBERT,iter18,0.37986666666666663,0.4019333333333333,0.41986666666666667
ClinicalBERT,iter19,0.40123333333333333,0.4080333333333333,0.39963333333333334
ClinicalBERT,iter2,0.3948666666666667,0.4331666666666667,0.41839999999999994
ClinicalBERT,iter20,0.4062333333333333,0.43173333333333336,0.42696666666666666
ClinicalBERT,iter21,0.39796666666666664,0.4282333333333333,0.42049999999999993
ClinicalBERT,iter22,0.39293333333333336,0.39896666666666664,0.3969
ClinicalBERT,iter23,0.3718666666666666,0.4122666666666666,0.41136666666666666
ClinicalBERT,iter24,0.3985666666666667,0.41123333333333334,0.412
ClinicalBERT,iter25,0.3588,0.42826666666666663,0.41559999999999997
ClinicalBERT,iter26,0.3713,0.3808,0.38830000000000003
ClinicalBERT,iter27,0.41209999999999997,0.4406666666666667,0.43710000000000004
ClinicalBERT,iter28,0.3956,0.4014333333333333,0.39549999999999996
ClinicalBERT,iter29,0.37366666666666665,0.37539999999999996,0.3727666666666667
ClinicalBERT,iter3,0.3938333333333333,0.42396666666666666,0.43113333333333337
ClinicalBERT,iter30,0.38400000000000006,0.403,0.3867
ClinicalBERT,iter4,0.3612666666666667,0.3789,0.3796
ClinicalBERT,iter5,0.4176333333333333,0.42216666666666663,0.42673333333333335
ClinicalBERT,iter6,0.39313333333333333,0.43019999999999997,0.4235
ClinicalBERT,iter7,0.39326666666666665,0.4461,0.42979999999999996
ClinicalBERT,iter8,0.41,0.43356666666666666,0.4313666666666667
ClinicalBERT,iter9,0.38176666666666664,0.40386666666666665,0.4073
GRU,iter1,0.31718904633333334,0.42352732783333336,0.411491138
GRU,iter10,0.255092143,0.37979310000000005,0.380277229
GRU,iter11,0.36793883866666666,0.40369749666666666,0.39133048666666664
GRU,iter12,0.47050873066666665,0.473613751,0.4816647806666667
GRU,iter13,0.2487990343333333,0.421798452,0.39113255399999997
GRU,iter14,0.3657808236666667,0.40645369466666664,0.37298912
GRU,iter15,0.45165056600000003,0.4823678596666667,0.5159582173333334
GRU,iter16,0.26588000933333333,0.42577425566666666,0.41394125200000004
GRU,iter17,0.39910950733333334,0.44484077099999997,0.4605920266666667
GRU,iter18,0.386209386,0.4044797173333334,0.42097507133333334
GRU,iter19,0.44469534499999996,0.463701368,0.4414346473333333
GRU,iter2,0.3769612983333333,0.38456915433333333,0.3791075486666667
GRU,iter20,0.2562033246666667,0.42465530199999996,0.3981269463333333
GRU,iter21,0.365264303,0.38701223933333334,0.393617157
GRU,iter22,0.3951509183333333,0.45377508466666666,0.456105185
